ticker,Sector,
^GSPC,S&P 500,
^DJI,Dow Jones Industrial Avera,
^IXIC,NASDAQ Composite , 
^NYA,NYSE COMPOSITE (DJ),
^XAX,NYSE AMEX COMPOSITE ,
^BUK100P,Cboe UK 100,
^RUT,Russell 2000,
^VIX,CBOE Volatility Index,
^FTSE,FTSE 100,
^GDAXI,DAX,
^FCHI,CAC 40,
^STOXX50E,EURO STOXX 50 I,
^N100,Euronext 100 Index,
^BFX,BEL 20,
^HSI,HANG SENG INDEX,
^STI,STI Index,
QQQ,ETF NASADQ100,
SPY,ETF SPX500,
IWM,ETF RUSSEL 2000,
MAGS,Roundhill Magnificent Seven ETF,
XLK,Technology Select Sector SPDR Fund ,
XLC,Communication Services Select Sector SPDR Fund,
XLY,Consumer Discretionary Select Sector SPDR Fund,
XLP,Consumer Staples Select Sector SPDR Fund,
XLE,Energy Select Sector SPDR Fund,
XLF, Financial Select Sector SPDR Fund,
XLV,Health Care Select Sector SPDR Fund,
XLI,Industrial Select Sector SPDR Fund,
XLB, Materials Select Sector SPDR Fund,
XLRE, Real Estate Select Sector SPDR Fund,
XLU,Utilities Select Sector SPDR Fund,
SMH,VanEck Semiconductor ETF,
