Symbol,Sector,Exchange
VGT,Financials & Insurance,AMEX
SPY,Financials & Insurance,AMEX
IYF,Financials & Insurance,AMEX
KBE,Financials & Insurance,AMEX
XLF,Financials & Insurance,AMEX
KRE,Financials & Insurance,AMEX
IHF,Financials & Insurance,AMEX
PHO,Financials & Insurance,NASDAQ
KBWB,Financials & Insurance,NASDAQ
KIE,Financials & Insurance,AMEX
IAK,Financials & Insurance,AMEX
PBS,Financials & Insurance,AMEX
SLV,Materials & Mining,AMEX
GDXJ,Materials & Mining,AMEX
GLD,Materials & Mining,AMEX
COPX,Materials & Mining,AMEX
EMET,Materials & Mining,AMEX
CPER,Materials & Mining,AMEX
PICK,Materials & Mining,CBOE
SLX,Materials & Mining,AMEX
XME,Materials & Mining,AMEX
XLB,Materials & Mining,AMEX
MOO,Materials & Mining,AMEX
REMX,Materials & Mining,AMEX
ALUM,Materials & Mining,LSE
AA,Materials & Mining,NYSE
XRX,Utilities & Infrastructure,NASDAQ
XLY,Utilities & Infrastructure,AMEX
VOX,Utilities & Infrastructure,AMEX
XSD,Utilities & Infrastructure,AMEX
PEJ,Utilities & Infrastructure,AMEX
CARZ,Utilities & Infrastructure,NASDAQ
IGM,Utilities & Infrastructure,AMEX
IYT,Utilities & Infrastructure,CBOE
PSCI,Utilities & Infrastructure,NASDAQ
VNQ,Utilities & Infrastructure,AMEX
DBA,Utilities & Infrastructure,AMEX
ITB,Utilities & Infrastructure,CBOE
WOOD,Utilities & Infrastructure,NASDAQ
XHB,Utilities & Infrastructure,AMEX
FIW,Utilities & Infrastructure,AMEX
XLI,Utilities & Infrastructure,AMEX
PAVE,Utilities & Infrastructure,CBOE
XTL,Utilities & Infrastructure,AMEX
XLU,Utilities & Infrastructure,AMEX
FSTA,Utilities & Infrastructure,AMEX
IYZ,Utilities & Infrastructure,CBOE
VEGI,Utilities & Infrastructure,AMEX
HACK,Utilities & Infrastructure,AMEX
JEDI,Utilities & Infrastructure,AMEX
COAL,Utilities & Infrastructure,AMEX
OIH,Utilities & Infrastructure,AMEX
BLOK,Energy & Power,AMEX
QTUM,Energy & Power,NASDAQ
KWEB,Energy & Power,AMEX
SOXX,Energy & Power,NASDAQ
FDN,Energy & Power,AMEX
IBUY,Energy & Power,AMEX
SMH,Energy & Power,NASDAQ
ROBO,Energy & Power,AMEX
IGV,Energy & Power,CBOE
CIBR,Energy & Power,NASDAQ
SMHX,Energy & Power,NASDAQ
IBOT,Energy & Power,NASDAQ
IBRN,Consumer & Retail,AMEX
IBB,Consumer & Retail,NASDAQ
IHI,Consumer & Retail,AMEX
XLV,Consumer & Retail,AMEX
PPH,Consumer & Retail,NASDAQ
PJP,Consumer & Retail,AMEX
PBW,Technology & Innovation,AMEX
DRAM,Technology & Innovation,CBOE
NLR,Technology & Innovation,AMEX
URA,Technology & Innovation,AMEX
TAN,Technology & Innovation,AMEX
CRAK,Technology & Innovation,AMEX
AMLP,Technology & Innovation,AMEX
XOP,Technology & Innovation,AMEX
UGA,Technology & Innovation,AMEX
NUKZ,Technology & Innovation,AMEX
RTH,Healthcare & Life Sciences,NASDAQ
XRT,Healthcare & Life Sciences,AMEX
XLP,Healthcare & Life Sciences,AMEX
PBJ,Healthcare & Life Sciences,AMEX
EATZ,Healthcare & Life Sciences,AMEX
BJK,Healthcare & Life Sciences,NASDAQ
JETS,Industrial & Aerospace,AMEX
XTN,Industrial & Aerospace,AMEX
ITA,Industrial & Aerospace,CBOE
XAR,Industrial & Aerospace,AMEX
PKB,Industrial & Aerospace,AMEX
SEA,Industrial & Aerospace,AMEX
AIRR,Industrial & Aerospace,NASDAQ
